lr: 5e-06
epochs: 500
batch_num: 100
batch_size: 64
mini_batch_num: 1
baseline: pomo
pomo_size: 16
eval_batch_size: 1024
eval_path: ./eval_data(35,4,4,6).pt
eval_n_bays: 4
eval_n_rows: 4
empty_priority: None
n_containers: 35
n_bays: 4
n_rows: 4
n_tiers: 6
instance_type: random
objective: workingtime
embed_dim: 128
n_encode_layers: 3
n_heads: 8
ff_hidden: 512
tanh_c: 10
device: cuda:0
log_path: ./train/20250223_195424
--------------------
Epoch: 0 | Train loss: None | Eval WT: 3914.818 | Eval moves: 49.907 | 1s
Epoch: 1 | Train loss: -583.337406044597 | Eval WT: 3636.734 | Eval moves: 48.189 | 111s
Epoch: 2 | Train loss: -277.6175684391144 | Eval WT: 3335.817 | Eval moves: 48.529 | 67s
Epoch: 3 | Train loss: -354.369472104773 | Eval WT: 3077.033 | Eval moves: 50.337 | 74s
Epoch: 4 | Train loss: -269.9604988800982 | Eval WT: 3015.796 | Eval moves: 51.018 | 80s
Epoch: 5 | Train loss: -210.06482572653854 | Eval WT: 2999.956 | Eval moves: 51.045 | 83s
Epoch: 6 | Train loss: -188.012174195273 | Eval WT: 2991.348 | Eval moves: 51.033 | 83s
Epoch: 7 | Train loss: -171.3653195381296 | Eval WT: 2985.938 | Eval moves: 50.975 | 83s
Epoch: 8 | Train loss: -162.88555933480964 | Eval WT: 2981.765 | Eval moves: 50.925 | 83s
Epoch: 9 | Train loss: -155.28281736153224 | Eval WT: 2976.754 | Eval moves: 50.935 | 82s
Epoch: 10 | Train loss: -148.20766004640313 | Eval WT: 2976.243 | Eval moves: 50.91 | 82s
Epoch: 11 | Train loss: -140.39249218562705 | Eval WT: 2973.241 | Eval moves: 50.882 | 112s
Epoch: 12 | Train loss: -133.48877485789433 | Eval WT: 2969.819 | Eval moves: 50.843 | 81s
Epoch: 13 | Train loss: -127.00311040181651 | Eval WT: 2968.833 | Eval moves: 50.824 | 81s
Epoch: 14 | Train loss: -121.03133726309866 | Eval WT: 2967.418 | Eval moves: 50.846 | 81s
Epoch: 15 | Train loss: -113.2946754814833 | Eval WT: 2965.507 | Eval moves: 50.772 | 80s
Epoch: 16 | Train loss: -108.03190478958476 | Eval WT: 2962.772 | Eval moves: 50.785 | 79s
Epoch: 17 | Train loss: -100.45985135605706 | Eval WT: 2962.164 | Eval moves: 50.781 | 80s
Epoch: 18 | Train loss: -95.96694561242383 | Eval WT: 2958.858 | Eval moves: 50.777 | 79s
Epoch: 19 | Train loss: -90.88498259069351 | Eval WT: 2958.44 | Eval moves: 50.774 | 81s
Epoch: 20 | Train loss: -84.25876154947207 | Eval WT: 2956.878 | Eval moves: 50.739 | 78s
Epoch: 21 | Train loss: -77.17747937604886 | Eval WT: 2956.605 | Eval moves: 50.748 | 113s
Epoch: 22 | Train loss: -73.59696841078576 | Eval WT: 2956.035 | Eval moves: 50.727 | 78s
Epoch: 23 | Train loss: -68.40561657916102 | Eval WT: 2955.478 | Eval moves: 50.731 | 78s
Epoch: 24 | Train loss: -64.40660265070241 | Eval WT: 2954.109 | Eval moves: 50.711 | 79s
Epoch: 25 | Train loss: -61.68800638966653 | Eval WT: 2953.566 | Eval moves: 50.689 | 78s
Epoch: 26 | Train loss: -58.25379246319776 | Eval WT: 2953.784 | Eval moves: 50.69 | 78s
Epoch: 27 | Train loss: -56.507503055295814 | Eval WT: 2953.432 | Eval moves: 50.671 | 78s
Epoch: 28 | Train loss: -53.272353313750834 | Eval WT: 2952.008 | Eval moves: 50.684 | 78s
Epoch: 29 | Train loss: -51.96010290119485 | Eval WT: 2951.373 | Eval moves: 50.684 | 78s
Epoch: 30 | Train loss: -50.69122080805468 | Eval WT: 2951.103 | Eval moves: 50.673 | 76s
Epoch: 31 | Train loss: -47.71457161360202 | Eval WT: 2950.882 | Eval moves: 50.671 | 118s
Epoch: 32 | Train loss: -47.24673290808343 | Eval WT: 2950.21 | Eval moves: 50.648 | 77s
Epoch: 33 | Train loss: -46.36751033473668 | Eval WT: 2949.886 | Eval moves: 50.651 | 77s
Epoch: 34 | Train loss: -43.44226542320141 | Eval WT: 2949.07 | Eval moves: 50.644 | 77s
Epoch: 35 | Train loss: -43.45987395072026 | Eval WT: 2949.017 | Eval moves: 50.632 | 77s
Epoch: 36 | Train loss: -41.102338058700425 | Eval WT: 2948.775 | Eval moves: 50.633 | 76s
Epoch: 37 | Train loss: -40.74320471146759 | Eval WT: 2948.005 | Eval moves: 50.628 | 76s
Epoch: 38 | Train loss: -39.47157393938531 | Eval WT: 2947.746 | Eval moves: 50.609 | 75s
Epoch: 39 | Train loss: -37.79008321522333 | Eval WT: 2947.795 | Eval moves: 50.628 | 75s
Epoch: 40 | Train loss: -36.527305824361896 | Eval WT: 2947.204 | Eval moves: 50.588 | 76s
Epoch: 41 | Train loss: -35.556765060205365 | Eval WT: 2946.64 | Eval moves: 50.582 | 116s
Epoch: 42 | Train loss: -34.29234270219464 | Eval WT: 2946.578 | Eval moves: 50.594 | 76s
Epoch: 43 | Train loss: -33.63594683897327 | Eval WT: 2945.659 | Eval moves: 50.574 | 75s
Epoch: 44 | Train loss: -32.998981311141534 | Eval WT: 2945.885 | Eval moves: 50.567 | 75s
Epoch: 45 | Train loss: -31.675979395920002 | Eval WT: 2945.275 | Eval moves: 50.563 | 74s
Epoch: 46 | Train loss: -31.402816763482654 | Eval WT: 2944.747 | Eval moves: 50.549 | 75s
Epoch: 47 | Train loss: -30.131430916000763 | Eval WT: 2944.97 | Eval moves: 50.546 | 74s
Epoch: 48 | Train loss: -29.439686136811762 | Eval WT: 2944.451 | Eval moves: 50.548 | 74s
Epoch: 49 | Train loss: -29.2604373977887 | Eval WT: 2944.292 | Eval moves: 50.532 | 74s
Epoch: 50 | Train loss: -28.2082925895425 | Eval WT: 2943.921 | Eval moves: 50.531 | 75s
Epoch: 51 | Train loss: -27.838850137026437 | Eval WT: 2944.302 | Eval moves: 50.516 | 115s
Epoch: 52 | Train loss: -26.363076449838374 | Eval WT: 2944.008 | Eval moves: 50.529 | 75s
Epoch: 53 | Train loss: -25.438691826712827 | Eval WT: 2943.681 | Eval moves: 50.515 | 74s
Epoch: 54 | Train loss: -25.492137858721776 | Eval WT: 2942.645 | Eval moves: 50.49 | 75s
Epoch: 55 | Train loss: -25.658787647668294 | Eval WT: 2942.489 | Eval moves: 50.498 | 74s
Epoch: 56 | Train loss: -25.00404306958745 | Eval WT: 2943.554 | Eval moves: 50.511 | 73s
Epoch: 57 | Train loss: -23.8381203276196 | Eval WT: 2942.408 | Eval moves: 50.5 | 74s
Epoch: 58 | Train loss: -23.80269463499033 | Eval WT: 2942.413 | Eval moves: 50.491 | 73s
Epoch: 59 | Train loss: -23.728582859839804 | Eval WT: 2942.114 | Eval moves: 50.49 | 74s
Epoch: 60 | Train loss: -22.3100523927624 | Eval WT: 2942.646 | Eval moves: 50.488 | 73s
Epoch: 61 | Train loss: -22.467287534069722 | Eval WT: 2941.546 | Eval moves: 50.473 | 109s
Epoch: 62 | Train loss: -22.28068744504034 | Eval WT: 2941.678 | Eval moves: 50.467 | 73s
Epoch: 63 | Train loss: -20.53169345364323 | Eval WT: 2941.576 | Eval moves: 50.466 | 73s
Epoch: 64 | Train loss: -20.766626593139176 | Eval WT: 2941.51 | Eval moves: 50.468 | 74s
Epoch: 65 | Train loss: -19.791840941435442 | Eval WT: 2941.16 | Eval moves: 50.47 | 73s
Epoch: 66 | Train loss: -19.040143662239235 | Eval WT: 2941.002 | Eval moves: 50.453 | 73s
Epoch: 67 | Train loss: -19.035247378927906 | Eval WT: 2941.585 | Eval moves: 50.474 | 72s
Epoch: 68 | Train loss: -19.270129507646406 | Eval WT: 2940.917 | Eval moves: 50.457 | 72s
Epoch: 69 | Train loss: -18.443469443389237 | Eval WT: 2940.53 | Eval moves: 50.451 | 73s
Epoch: 70 | Train loss: -18.756367804018065 | Eval WT: 2941.218 | Eval moves: 50.461 | 72s
Epoch: 71 | Train loss: -17.02745446550453 | Eval WT: 2940.483 | Eval moves: 50.436 | 107s
Epoch: 72 | Train loss: -17.472820327300322 | Eval WT: 2940.344 | Eval moves: 50.436 | 71s
Epoch: 73 | Train loss: -16.704209518864797 | Eval WT: 2940.581 | Eval moves: 50.457 | 72s
Epoch: 74 | Train loss: -16.642616808874344 | Eval WT: 2939.879 | Eval moves: 50.433 | 72s
Epoch: 75 | Train loss: -16.949745693773483 | Eval WT: 2939.735 | Eval moves: 50.428 | 72s
Epoch: 76 | Train loss: -15.51459261112766 | Eval WT: 2939.577 | Eval moves: 50.421 | 71s
Epoch: 77 | Train loss: -16.038647072823473 | Eval WT: 2939.462 | Eval moves: 50.427 | 72s
Epoch: 78 | Train loss: -15.389882088050463 | Eval WT: 2939.503 | Eval moves: 50.424 | 71s
Epoch: 79 | Train loss: -14.679727568154966 | Eval WT: 2939.285 | Eval moves: 50.422 | 72s
Epoch: 80 | Train loss: -15.201092761629555 | Eval WT: 2939.258 | Eval moves: 50.423 | 71s
Epoch: 81 | Train loss: -14.934846918403366 | Eval WT: 2939.139 | Eval moves: 50.422 | 107s
Epoch: 82 | Train loss: -14.21542343534701 | Eval WT: 2938.811 | Eval moves: 50.406 | 71s
Epoch: 83 | Train loss: -14.044418132352792 | Eval WT: 2939.171 | Eval moves: 50.411 | 71s
Epoch: 84 | Train loss: -13.491137230617703 | Eval WT: 2938.703 | Eval moves: 50.405 | 71s
Epoch: 85 | Train loss: -13.650984399370763 | Eval WT: 2938.748 | Eval moves: 50.406 | 72s
Epoch: 86 | Train loss: -13.44778865126191 | Eval WT: 2938.747 | Eval moves: 50.415 | 72s
Epoch: 87 | Train loss: -13.238017120602898 | Eval WT: 2938.746 | Eval moves: 50.406 | 70s
Epoch: 88 | Train loss: -12.851199926762444 | Eval WT: 2938.634 | Eval moves: 50.394 | 71s
Epoch: 89 | Train loss: -12.586288459507436 | Eval WT: 2938.304 | Eval moves: 50.384 | 71s
Epoch: 90 | Train loss: -12.864285894655064 | Eval WT: 2937.54 | Eval moves: 50.382 | 70s
Epoch: 91 | Train loss: -12.649641504343617 | Eval WT: 2938.085 | Eval moves: 50.395 | 107s
Epoch: 92 | Train loss: -12.546366986190412 | Eval WT: 2937.602 | Eval moves: 50.381 | 71s
Epoch: 93 | Train loss: -11.682861968188687 | Eval WT: 2937.981 | Eval moves: 50.386 | 71s
Epoch: 94 | Train loss: -11.47982600211721 | Eval WT: 2938.22 | Eval moves: 50.396 | 70s
Epoch: 95 | Train loss: -11.133553018562504 | Eval WT: 2937.28 | Eval moves: 50.378 | 71s
Epoch: 96 | Train loss: -11.295560048733234 | Eval WT: 2937.513 | Eval moves: 50.379 | 70s
Epoch: 97 | Train loss: -11.164056771387214 | Eval WT: 2937.551 | Eval moves: 50.379 | 70s
Epoch: 98 | Train loss: -11.41850173000554 | Eval WT: 2937.471 | Eval moves: 50.383 | 71s
Epoch: 99 | Train loss: -10.319148700463506 | Eval WT: 2937.397 | Eval moves: 50.37 | 70s
Epoch: 100 | Train loss: -10.76395272037546 | Eval WT: 2936.873 | Eval moves: 50.355 | 71s
Epoch: 101 | Train loss: -10.152001622032936 | Eval WT: 2937.01 | Eval moves: 50.383 | 108s
Epoch: 102 | Train loss: -10.654988214076718 | Eval WT: 2936.944 | Eval moves: 50.369 | 71s
Epoch: 103 | Train loss: -9.745280367742144 | Eval WT: 2936.947 | Eval moves: 50.368 | 70s
Epoch: 104 | Train loss: -9.484415634274622 | Eval WT: 2936.303 | Eval moves: 50.356 | 71s
Epoch: 105 | Train loss: -10.284989716989964 | Eval WT: 2937.089 | Eval moves: 50.38 | 71s
Epoch: 106 | Train loss: -9.801974086820014 | Eval WT: 2936.801 | Eval moves: 50.364 | 71s
Epoch: 107 | Train loss: -9.982962791666589 | Eval WT: 2936.339 | Eval moves: 50.346 | 70s
Epoch: 108 | Train loss: -9.356615271553506 | Eval WT: 2936.433 | Eval moves: 50.363 | 70s
Epoch: 109 | Train loss: -9.3209308154648 | Eval WT: 2935.902 | Eval moves: 50.335 | 71s
Epoch: 110 | Train loss: -9.249991889683265 | Eval WT: 2935.949 | Eval moves: 50.347 | 69s
Epoch: 111 | Train loss: -9.383191548345936 | Eval WT: 2936.351 | Eval moves: 50.346 | 106s
Epoch: 112 | Train loss: -9.103374917370225 | Eval WT: 2936.098 | Eval moves: 50.346 | 70s
Epoch: 113 | Train loss: -9.02541244100536 | Eval WT: 2936.294 | Eval moves: 50.36 | 70s
Epoch: 114 | Train loss: -8.435444033152029 | Eval WT: 2936.109 | Eval moves: 50.347 | 70s
Epoch: 115 | Train loss: -8.502419095953677 | Eval WT: 2936.079 | Eval moves: 50.346 | 70s
Epoch: 116 | Train loss: -8.025033160979085 | Eval WT: 2935.98 | Eval moves: 50.345 | 69s
Epoch: 117 | Train loss: -8.435877768505817 | Eval WT: 2935.664 | Eval moves: 50.332 | 69s
Epoch: 118 | Train loss: -8.230387545854738 | Eval WT: 2936.153 | Eval moves: 50.353 | 70s
Epoch: 119 | Train loss: -8.124302375349986 | Eval WT: 2936.103 | Eval moves: 50.342 | 70s
Epoch: 120 | Train loss: -7.864651128924679 | Eval WT: 2935.547 | Eval moves: 50.34 | 71s
Epoch: 121 | Train loss: -7.819640456231142 | Eval WT: 2935.647 | Eval moves: 50.337 | 106s
Epoch: 122 | Train loss: -7.750458917184556 | Eval WT: 2935.453 | Eval moves: 50.344 | 69s
Epoch: 123 | Train loss: -7.67437143770134 | Eval WT: 2935.286 | Eval moves: 50.325 | 70s
Epoch: 124 | Train loss: -7.694760523853566 | Eval WT: 2935.138 | Eval moves: 50.323 | 70s
Epoch: 125 | Train loss: -7.178494895837107 | Eval WT: 2934.803 | Eval moves: 50.313 | 70s
Epoch: 126 | Train loss: -7.3006328106631555 | Eval WT: 2935.054 | Eval moves: 50.319 | 70s
